"time","pendingTx","gasPrice","avgTime","avgTime2","safeGas","proposeGas"
"2019-01-16T15:10:02.244428","33063","2.0","86.0","00 hr 01 min 26 secs","2","11"
"2019-01-16T15:10:02.244428","33063","3.0","86.0","00 hr 01 min 26 secs","2","11"
"2019-01-16T15:10:02.244428","33063","4.0","19.0","00 hr 00 min 19 secs","2","11"
"2019-01-16T15:10:02.244428","33063","5.0","36.0","00 hr 00 min 36 secs","2","11"
"2019-01-16T15:10:02.244428","33063","6.0","17.0","00 hr 00 min 17 secs","2","11"
"2019-01-16T15:10:02.244428","33063","7.0","61.0","00 hr 01 min 01 secs","2","11"
"2019-01-16T15:10:02.244428","33063","8.0","61.0","00 hr 01 min 01 secs","2","11"
"2019-01-16T15:10:02.244428","33063","9.0","71.0","00 hr 01 min 11 secs","2","11"
"2019-01-16T15:10:02.244428","33063","10.0","17610.0","04 hr 53 min 30 secs","2","11"
"2019-01-16T15:10:02.244428","33063","11.0","11.0","00 hr 00 min 11 secs","2","11"
"2019-01-16T15:15:02.236075","33094","2.0","65.0","00 hr 01 min 05 secs","2","12"
"2019-01-16T15:15:02.236075","33094","3.0","63.0","00 hr 01 min 03 secs","2","12"
"2019-01-16T15:15:02.236075","33094","4.0","76.0","00 hr 01 min 16 secs","2","12"
"2019-01-16T15:15:02.236075","33094","5.0","64.0","00 hr 01 min 04 secs","2","12"
"2019-01-16T15:15:02.236075","33094","6.0","66.0","00 hr 01 min 06 secs","2","12"
"2019-01-16T15:15:02.236075","33094","7.0","64.0","00 hr 01 min 04 secs","2","12"
"2019-01-16T15:15:02.236075","33094","8.0","23.0","00 hr 00 min 23 secs","2","12"
"2019-01-16T15:15:02.236075","33094","9.0","55.0","00 hr 00 min 55 secs","2","12"
"2019-01-16T15:15:02.236075","33094","10.0","17610.0","04 hr 53 min 30 secs","2","12"
"2019-01-16T15:15:02.236075","33094","11.0","39.0","00 hr 00 min 39 secs","2","12"
"2019-01-16T15:15:02.236075","33094","12.0","14.0","00 hr 00 min 14 secs","2","12"
"2019-01-16T15:20:02.219895","33064","2.0","14.0","00 hr 00 min 14 secs","2","10"
"2019-01-16T15:20:02.219895","33064","3.0","33.0","00 hr 00 min 33 secs","2","10"
"2019-01-16T15:20:02.219895","33064","4.0","65.0","00 hr 01 min 05 secs","2","10"
"2019-01-16T15:20:02.219895","33064","5.0","24.0","00 hr 00 min 24 secs","2","10"
"2019-01-16T15:20:02.219895","33064","6.0","24.0","00 hr 00 min 24 secs","2","10"
"2019-01-16T15:20:02.219895","33064","7.0","59.0","00 hr 00 min 59 secs","2","10"
"2019-01-16T15:20:02.219895","33064","8.0","33.0","00 hr 00 min 33 secs","2","10"
"2019-01-16T15:20:02.219895","33064","9.0","33.0","00 hr 00 min 33 secs","2","10"
"2019-01-16T15:20:02.219895","33064","10.0","11.0","00 hr 00 min 11 secs","2","10"
"2019-01-16T15:25:02.160574","32991","3.0","24.0","00 hr 00 min 24 secs","3","10"
"2019-01-16T15:25:02.160574","32991","4.0","18.0","00 hr 00 min 18 secs","3","10"
"2019-01-16T15:25:02.160574","32991","5.0","28.0","00 hr 00 min 28 secs","3","10"
"2019-01-16T15:25:02.160574","32991","6.0","18.0","00 hr 00 min 18 secs","3","10"
"2019-01-16T15:25:02.160574","32991","7.0","18.0","00 hr 00 min 18 secs","3","10"
"2019-01-16T15:25:02.160574","32991","8.0","15.0","00 hr 00 min 15 secs","3","10"
"2019-01-16T15:25:02.160574","32991","9.0","16.0","00 hr 00 min 16 secs","3","10"
"2019-01-16T15:25:02.160574","32991","10.0","12.0","00 hr 00 min 12 secs","3","10"
"2019-01-16T15:30:01.893330","33228","2.0","79.0","00 hr 01 min 19 secs","2","10"
"2019-01-16T15:30:01.893330","33228","3.0","77.0","00 hr 01 min 17 secs","2","10"
"2019-01-16T15:30:01.893330","33228","4.0","18.0","00 hr 00 min 18 secs","2","10"
"2019-01-16T15:30:01.893330","33228","5.0","28.0","00 hr 00 min 28 secs","2","10"
"2019-01-16T15:30:01.893330","33228","6.0","18.0","00 hr 00 min 18 secs","2","10"
"2019-01-16T15:30:01.893330","33228","7.0","18.0","00 hr 00 min 18 secs","2","10"
"2019-01-16T15:30:01.893330","33228","8.0","34.0","00 hr 00 min 34 secs","2","10"
"2019-01-16T15:30:01.893330","33228","9.0","13.0","00 hr 00 min 13 secs","2","10"
"2019-01-16T15:30:01.893330","33228","10.0","12.0","00 hr 00 min 12 secs","2","10"
"2019-01-16T15:35:04.394014","33268","3.0","209.0","00 hr 03 min 29 secs","3","33"
"2019-01-16T15:35:04.394014","33268","4.0","331.0","00 hr 05 min 31 secs","3","33"
"2019-01-16T15:35:04.394014","33268","5.0","114.0","00 hr 01 min 54 secs","3","33"
"2019-01-16T15:35:04.394014","33268","6.0","119.0","00 hr 01 min 59 secs","3","33"
"2019-01-16T15:35:04.394014","33268","7.0","76.0","00 hr 01 min 16 secs","3","33"
"2019-01-16T15:35:04.394014","33268","8.0","26.0","00 hr 00 min 26 secs","3","33"
"2019-01-16T15:35:04.394014","33268","9.0","13.0","00 hr 00 min 13 secs","3","33"
"2019-01-16T15:35:04.394014","33268","10.0","46.0","00 hr 00 min 46 secs","3","33"
"2019-01-16T15:35:04.394014","33268","11.0","38.0","00 hr 00 min 38 secs","3","33"
"2019-01-16T15:35:04.394014","33268","12.0","77.0","00 hr 01 min 17 secs","3","33"
"2019-01-16T15:35:04.394014","33268","13.0","25.0","00 hr 00 min 25 secs","3","33"
"2019-01-16T15:35:04.394014","33268","14.0","89.0","00 hr 01 min 29 secs","3","33"
"2019-01-16T15:35:04.394014","33268","16.0","26.0","00 hr 00 min 26 secs","3","33"
"2019-01-16T15:35:04.394014","33268","16.0","77.0","00 hr 01 min 17 secs","3","33"
"2019-01-16T15:35:04.394014","33268","17.0","12.0","00 hr 00 min 12 secs","3","33"
"2019-01-16T15:35:04.394014","33268","18.0","12.0","00 hr 00 min 12 secs","3","33"
"2019-01-16T15:35:04.394014","33268","19.0","62.0","00 hr 01 min 02 secs","3","33"
"2019-01-16T15:35:04.394014","33268","20.0","72.0","00 hr 01 min 12 secs","3","33"
"2019-01-16T15:35:04.394014","33268","21.0","83.0","00 hr 01 min 23 secs","3","33"
"2019-01-16T15:35:04.394014","33268","22.0","58.0","00 hr 00 min 58 secs","3","33"
"2019-01-16T15:35:04.394014","33268","23.0","29.0","00 hr 00 min 29 secs","3","33"
"2019-01-16T15:35:04.394014","33268","24.0","15.0","00 hr 00 min 15 secs","3","33"
"2019-01-16T15:35:04.394014","33268","25.0","26.0","00 hr 00 min 26 secs","3","33"
"2019-01-16T15:35:04.394014","33268","26.0","17.0","00 hr 00 min 17 secs","3","33"
"2019-01-16T15:35:04.394014","33268","27.0","32.0","00 hr 00 min 32 secs","3","33"
"2019-01-16T15:35:04.394014","33268","28.0","23.0","00 hr 00 min 23 secs","3","33"
"2019-01-16T15:35:04.394014","33268","30.0","67.0","00 hr 01 min 07 secs","3","33"
"2019-01-16T15:35:04.394014","33268","31.0","48.0","00 hr 00 min 48 secs","3","33"
"2019-01-16T15:35:04.394014","33268","32.0","11.0","00 hr 00 min 11 secs","3","33"
"2019-01-16T15:35:04.394014","33268","33.0","14.0","00 hr 00 min 14 secs","3","33"
"2019-01-16T15:40:02.264901","33237","1.0","2336.0","00 hr 38 min 56 secs","1","40"
"2019-01-16T15:40:02.264901","33237","2.0","376.0","00 hr 06 min 16 secs","1","40"
"2019-01-16T15:40:02.264901","33237","3.0","178.0","00 hr 02 min 58 secs","1","40"
"2019-01-16T15:40:02.264901","33237","4.0","331.0","00 hr 05 min 31 secs","1","40"
"2019-01-16T15:40:02.264901","33237","5.0","43.0","00 hr 00 min 43 secs","1","40"
"2019-01-16T15:40:02.264901","33237","6.0","83.0","00 hr 01 min 23 secs","1","40"
"2019-01-16T15:40:02.264901","33237","7.0","42.0","00 hr 00 min 42 secs","1","40"
"2019-01-16T15:40:02.264901","33237","8.0","36.0","00 hr 00 min 36 secs","1","40"
"2019-01-16T15:40:02.264901","33237","9.0","36.0","00 hr 00 min 36 secs","1","40"
"2019-01-16T15:40:02.264901","33237","10.0","50.0","00 hr 00 min 50 secs","1","40"
"2019-01-16T15:40:02.264901","33237","11.0","22.0","00 hr 00 min 22 secs","1","40"
"2019-01-16T15:40:02.264901","33237","12.0","77.0","00 hr 01 min 17 secs","1","40"
"2019-01-16T15:40:02.264901","33237","13.0","25.0","00 hr 00 min 25 secs","1","40"
"2019-01-16T15:40:02.264901","33237","14.0","89.0","00 hr 01 min 29 secs","1","40"
"2019-01-16T15:40:02.264901","33237","16.0","44.0","00 hr 00 min 44 secs","1","40"
